table,variable,label,description
Age at Event and Latency,id,Participant ID,Participant ID ranging from 1301 to 2414.
Age at Event and Latency,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Age at Event and Latency,age_at_visit,Age in Days,An exact measure of age in days calculated by subtracting the date of visit from the participant's date of birth.
Age at Event and Latency,age_cog,Age in Days at the Cognitive Testing,An exact measure of age in days calculated by subtracting the date of the cognitive function testing from the participant's date of birth. This age will match the age_at_visit variable in most cases and is only included if the participant has valid cognitive function data.
Age at Event and Latency,age_mri,Age in Days at the MRI Scan,An exact measure of age in days calculated by subtracting the date of the MRI scan from the participant's date of birth. This variable is only included if the participant had a valid MRI scan.
Age at Event and Latency,visit_latency,Difference in Days from Baseline Visit,The difference in days between the date of the visit and the baseline visit
Age at Event and Latency,cog_latency,Difference in Days from Baseline Cognitive Function Assessment,The difference in days between the date of the cognitive function assessment and the baseline cognitive function assessment.
Age at Event and Latency,mri_latency,Difference in Days from Baseline MRI Scan,The difference in days between the date of the magnetic resonance imaging (MRI) scan and the baseline MRI scan.
Anthropometrics,id,Participant ID,Participant ID ranging from 1301 to 2414.
Anthropometrics,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Anthropometrics,height,Height in Centimeters,Average height in centimeters of two consecutive measurements within 0.635 cm (0.25 in).
Anthropometrics,weight,Weight in Kilograms,Average weight in kilograms of two consecutive measurements within 0.045 kg (0.1 lb).
Anthropometrics,bmi,Body Mass Index,Body mass index calculated by dividing weight in kilograms by height in meters squared.
Anthropometrics,waist,Waist in Centimeters,Average waist circumference in centimeters of two consecutive measurements within 2 cm.
Anthropometrics,sbp,Systolic Blood Pressure,The average of two consecutive resting systolic blood pressure measurements in millimeters of mercury (mmHg).
Anthropometrics,dbp,Diastolic Blood Pressure,The average of two consecutive resting diastolic blood pressure measurements in millimeters of mercury (mmHg).
Anthropometrics,resting_hr,Resting Heart Rate,The average of two consecutive measures of resting heart rate in beats per minute taken during the resting blood pressure assessment.
Cognitive Function,id,Participant ID,Participant ID ranging from 1301 to 2414.
Cognitive Function,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Cognitive Function,mtticmd,Incongruency cost (median),The difference between the median latency of response (from stimulus appearance to button press) on the trials that were congruent versus the trials that were incongruent. Calculated by subtracting the median congruent latency (in ms) from the median incongruent latency. A positive score indicates that the subject is faster on congruent trials and a negative score indicates that the subject is faster on incongruent trials. A higher incongruency cost indicates that the subjects takes longer to process conflicting information.
Cognitive Function,mttlmd,Reaction latency (median),"The median latency of response (from stimulus appearance to button press). Calculated across all correct, assessed trials."
Cognitive Function,mttmtcmd,Multitasking cost (median),"The difference between the median latency of response (from stimulus appearance to button press) during assessed blocks in which both rules are used versus assessed blocks in which only a single rule is used. Calculated by subtracting the median latency of response during single task block(s) from the median latency of response during multitasking block(s). A positive score indicates that the subject responds more slowly during multitasking blocks, and indicates a higher cost of managing multiple sources of information."
Cognitive Function,mtttic,Total incorrect,The number of trials for which the outcome was an incorrect response (subject pressed the incorrect button within the response window). Calculated across all assessed trials.
Cognitive Function,palfams,First Attempt Memory Score,The number of times a subject chose the correct box on their first attempt when recalling the pattern locations. Calculated across all assessed trials.
Cognitive Function,paltea,Total Errors,"The number of times the subject chose the incorrect box for a stimulus on assessment problems, plus an adjustment for the estimated number of errors they would have made on any problems, attempts and recalls they did not reach. This measure allows you to compare performance on errors made across all subjects regardless of those who terminated early versus those completing the final stage of the task."
Cognitive Function,rtifmdmt,Five-Choice Movement Time,"The median time taken for a subject to release the response button and select the target stimulus after it flashed yellow on screen. Calculated across correct, assessed trials in which the stimulus could appear in any one of five locations. Measured in milliseconds."
Cognitive Function,rtifmdrt,Five-Choice Reaction Time,"The median duration it took for a subject to release the response button after the presentation of a target stimulus. Calculated across correct, assessed trials in which the stimulus could appear in any one of five locations. Measured in milliseconds."
Cognitive Function,rtismdmt,Simple Movement Time,"The median time taken for a subject to release the response button and select the target stimulus after it flashed yellow on screen. Calculated across correct, assessed trials in which the stimulus could appear in one location only. Measured in milliseconds."
Cognitive Function,rtismdrt,Simple Reaction Time,"The median duration it took for a subject to release the response button after the presentation of a target stimulus. Calculated across correct, assessed trials in which the stimulus could appear in one location only. Measured in milliseconds."
Demographics,id,Participant ID,Participant ID ranging from 1301 to 2414.
Demographics,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Demographics,gender,Gender,Participant's gender (1: Male; 2: Female)
Demographics,level_support,Level of Support,Level of parental or caregiver support needed (1: Mild; 2: Moderate)
Demographics,race,Race,Participant's race (1: American Indian; 2: Asian; 3: Pacific Islander; 4: African American; 5: Caucasian; 6: Mixed Race)
Demographics,ethnicity,Ethnicity,Participant's ethnicity (1: Not Hispanic or Latino; 2: Hispanic or Latino)
Health Conditions,id,Participant ID,Participant ID ranging from 1301 to 2414.
Health Conditions,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Health Conditions,heart_condition,Heart Condition Present,"Was the participant born with a heart condition (e.g. hole in their heart, or a missing heart chamber, or valve problem; 0: No; 1: Yes)?"
Health Conditions,vsd,Ventricular Septal Defect,Ventricular Septal Defect (0: No; 1: Yes)
Health Conditions,asd,Atrial Septal Defect,Atrial Septal Defect (0: No; 1: Yes)
Health Conditions,pda,Patent Ductus Arteriosus,Patent Ductus Arteriosus (0: No; 1: Yes)
Health Conditions,avsd,Atrioventricular Septal Defect,Atrioventricular Septal Defect (also called Atrioventricular (AV) Canal and Endocardial Cushion Defect; 0: No; 1: Yes)
Health Conditions,mitral,Mitrial Valve Defect,Mitral Valve Defect (0: No; 1: Yes)
Health Conditions,murmur,Heart Murmur,Heart Murmur (0: No; 1: Yes)
Health Conditions,hole_no_surgery,A hole in the heart that did not require surgery,A hole in the heart that did not require surgery to repair (0: No; 1: Yes)
Health Conditions,blood_vessel_surgery,Prior blood vessel surgery,Has the participant ever had heart or blood vessel surgery or a cardiac catheterization (0: No; 1: Yes)?
Health Conditions,type1_diabetes,Type 1 Diabetes,Parent- or caregiver-reported medical diagnosis of type 1 or insulin dependent diabetes at the baseline visit (0: No; 1: Yes).
Health Conditions,metabolic_disorder,Metabolic Disorder,Parent- or caregiver-reported medical diagnosis of metabolic disorder at the baseline visit (0: No; 1: Yes).
Health Conditions,hypertension,Hypertension,Parent- or caregiver-reported medical diagnosis of hypertension at the baseline visit (0: No; 1: Yes).
Health Conditions,type2_diabetes,Type 2 Diabetes,Parent- or caregiver-reported medical diagnosis of type 2 or adult-onset diabetes at the baseline visit (0: No; 1: Yes).
Health Conditions,asthma,Asthma,Parent- or caregiver-reported medical diagnosis of asthma at the baseline visit (0: No; 1: Yes).
Health Conditions,food_allergies,Food Allergies,Parent- or caregiver-reported food allergies at the baseline visit (0: No; 1: Yes).
Health Conditions,hypothyroidism,Hypothyroidism,Parent- or caregiver-reported medical diagnosis of hypothyroidism at the baseline visit (0: No; 1: Yes).
Imaging,id,Participant ID,Participant ID ranging from 1301 to 2414.
Imaging,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Imaging,norm_gray,Proportion of Gray Matter in Intracranial Volume,Total gray matter volume (mm3) divided by total intracranial volume (mm3)
